Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
1,Connecticut 1,BE,37-3,+36.43,127.5,91.1,64.6,+.037,+12.42,113.2,100.8,-3.40
2,Houston 1,B12,32-5,+31.17,118.9,87.7,63.5,+.042,+11.57,111.9,100.3,-1.02
3,Purdue 1,B10,34-5,+30.62,125.2,94.6,67.0,+.048,+14.65,114.4,99.8,+10.58
4,Auburn 4,SEC,27-8,+27.99,120.4,92.4,70.0,-.080,+9.49,111.9,102.4,+1.47
5,Tennessee 2,SEC,27-9,+26.61,116.8,90.2,69.3,-.026,+13.35,114.6,101.2,+8.97
6,Arizona 2,P12,27-9,+26.55,120.2,93.7,72.2,-.047,+11.12,112.2,101.1,+10.47
7,Duke 4,ACC,27-9,+26.47,121.6,95.2,66.4,-.064,+10.07,111.1,101.1,-0.04
8,Iowa St. 2,B12,29-8,+26.47,113.9,87.5,67.2,+.002,+10.43,111.3,100.8,-7.05
9,North Carolina 1,ACC,29-8,+26.19,119.7,93.5,70.6,-.038,+12.17,112.6,100.5,+6.99
10,Illinois 3,B10,29-9,+24.53,125.5,101.0,69.8,-.004,+11.92,111.8,99.9,-2.33
11,Creighton 3,BE,25-10,+24.22,120.9,96.7,66.8,-.018,+11.96,112.3,100.4,+4.99
12,Gonzaga 5,WCC,27-8,+23.17,122.6,99.4,68.9,-.051,+5.21,109.3,104.1,+7.70
13,Marquette 2,BE,27-10,+23.02,118.2,95.2,69.1,+.035,+13.60,113.4,99.8,+8.21
14,Alabama 4,SEC,25-12,+22.96,126.0,103.0,72.6,-.001,+14.71,115.1,100.4,+9.46
15,Baylor 3,B12,24-11,+21.90,122.4,100.5,65.8,-.016,+13.44,112.4,99.0,+3.36
16,Michigan St. 9,B10,20-15,+20.58,114.3,93.7,65.3,-.100,+13.03,114.2,101.1,+4.62
17,Wisconsin 5,B10,22-14,+20.06,119.2,99.2,65.5,-.036,+14.04,113.2,99.2,+6.22
18,BYU 6,B12,23-11,+19.96,119.8,99.9,69.2,-.048,+9.21,110.1,100.9,-5.67
19,Clemson 6,ACC,24-12,+19.44,117.7,98.3,66.4,-.018,+12.09,113.5,101.4,+4.91
20,Saint Mary's 5,WCC,26-8,+19.43,114.5,95.0,62.5,+.008,+3.54,108.5,104.9,+5.20
21,St. John's,BE,20-13,+19.41,119.0,99.6,69.3,-.068,+11.19,112.5,101.3,+1.64
22,San Diego St. 5,MWC,26-11,+19.36,113.4,94.0,66.2,+.008,+11.16,112.8,101.7,+10.56
23,Kentucky 3,SEC,23-10,+19.29,122.2,102.9,72.7,-.040,+8.94,111.4,102.5,-0.17
24,Colorado 10,P12,26-11,+19.03,118.4,99.3,67.6,+.014,+9.34,110.9,101.6,-1.47
25,Texas 7,B12,21-13,+18.77,116.5,97.7,67.4,-.042,+10.91,111.4,100.5,-3.13
26,Florida 7,SEC,24-12,+18.19,120.0,101.8,72.0,-.021,+11.00,112.5,101.5,+2.02
27,Kansas 4,B12,23-11,+17.94,113.5,95.6,69.2,+.058,+13.61,113.0,99.3,+5.20
28,Wake Forest,ACC,21-14,+17.89,117.7,99.8,68.5,-.100,+9.00,110.0,101.0,-1.85
29,New Mexico 11,MWC,26-10,+17.80,114.4,96.6,72.8,-.013,+7.04,110.2,103.2,-0.50
30,Nebraska 8,B10,23-11,+17.55,116.2,98.7,69.0,+.010,+9.39,110.9,101.6,-5.41
31,Texas Tech 6,B12,23-11,+17.32,117.4,100.1,66.8,+.034,+10.24,111.1,100.9,-2.63
32,Dayton 7,A10,25-8,+17.30,117.7,100.4,64.5,+.007,+6.88,109.3,102.4,+6.97
33,Pittsburgh,ACC,22-11,+17.18,116.5,99.3,65.6,+.005,+8.43,110.9,102.4,-6.46
34,Mississippi St. 8,SEC,21-14,+17.07,113.0,95.9,67.1,-.037,+11.36,112.7,101.3,+0.68
35,Texas A&M 9,SEC,21-15,+17.02,117.5,100.5,66.6,-.033,+12.06,112.9,100.9,+5.10
36,Colorado St. 10,MWC,25-11,+17.02,114.0,97.0,66.1,-.026,+9.30,111.9,102.6,+5.84
37,Villanova,BE,18-16,+16.78,111.4,94.6,63.6,-.093,+11.59,112.7,101.1,+5.89
38,Indiana St.,MVC,32-7,+16.69,119.9,103.2,70.9,+.032,+3.07,107.7,104.7,-4.40
39,Cincinnati,B12,22-15,+16.47,112.0,95.5,67.5,-.073,+9.25,110.8,101.5,-4.17
40,Nevada 10,MWC,26-8,+16.41,115.0,98.6,66.8,+.043,+5.79,109.7,103.9,-1.43
41,Northwestern 9,B10,22-12,+16.41,115.9,99.5,64.2,+.015,+10.71,112.4,101.7,-7.35
42,Washington St. 7,P12,25-10,+16.33,113.2,96.9,64.8,+.024,+7.91,110.3,102.4,-5.27
43,TCU 9,B12,21-13,+16.04,114.7,98.7,69.8,-.049,+9.71,110.6,100.9,-8.39
44,Boise St. 10,MWC,22-11,+15.97,113.4,97.4,66.6,-.002,+9.55,111.1,101.5,+8.08
45,N.C. State 11,ACC,26-15,+15.90,114.3,98.4,68.0,+.014,+11.33,112.2,100.8,-4.99
46,Oklahoma,B12,20-12,+15.77,114.1,98.4,67.1,-.024,+9.96,110.4,100.5,-5.38
47,Florida Atlantic 8,Amer,25-9,+15.74,117.8,102.1,68.3,-.015,+5.56,109.6,104.1,+6.63
48,Utah,P12,22-15,+15.41,114.6,99.2,70.0,-.024,+10.29,111.7,101.4,+5.52
49,Ohio St.,B10,22-14,+15.19,115.2,100.0,66.5,-.024,+9.68,111.6,101.9,-1.94
50,Seton Hall,BE,25-12,+15.03,113.1,98.1,66.8,+.087,+10.10,111.8,101.7,-1.47
51,Utah St. 8,MWC,28-7,+14.89,116.0,101.1,68.9,+.128,+6.83,109.8,103.0,+1.78
52,Grand Canyon 12,WAC,30-5,+14.84,112.9,98.1,68.5,+.023,+0.17,105.2,105.1,-1.67
53,Drake 10,MVC,28-7,+14.53,115.1,100.5,68.0,+.051,+2.95,108.0,105.0,-1.34
54,South Carolina 6,SEC,26-8,+14.40,114.9,100.5,63.2,+.144,+7.94,110.5,102.6,-5.83
55,Oregon 11,P12,24-12,+14.19,114.7,100.5,67.3,+.045,+9.88,111.3,101.5,-0.11
56,Xavier,BE,16-18,+14.17,113.2,99.0,71.2,-.060,+13.22,113.3,100.1,+4.87
57,Iowa,B10,19-15,+14.15,119.6,105.4,71.8,-.021,+11.88,112.6,100.8,-1.15
58,Virginia Tech,ACC,19-15,+14.08,115.8,101.7,68.0,-.041,+9.90,110.7,100.8,+2.51
59,Providence,BE,21-14,+13.70,109.1,95.4,67.6,+.010,+10.26,112.3,102.1,-2.06
60,Washington,P12,17-15,+12.95,115.3,102.3,71.2,-.081,+9.48,111.0,101.5,+5.96
61,Butler,BE,18-15,+12.60,113.2,100.6,68.6,-.027,+11.83,112.5,100.7,+2.05
62,Maryland,B10,16-17,+12.51,107.3,94.7,65.5,-.093,+9.81,111.3,101.5,-4.94
63,James Madison 12,SB,32-4,+12.42,113.0,100.6,69.7,+.093,-3.41,104.1,107.5,-6.82
64,Bradley,MVC,23-12,+12.18,112.1,100.0,66.4,-.036,+4.07,107.7,103.7,+2.72
65,San Francisco,WCC,23-11,+12.05,110.5,98.4,67.4,-.055,+0.17,106.7,106.6,-2.51
66,UCF,B12,17-16,+11.83,107.5,95.6,68.7,-.072,+9.02,110.8,101.8,-5.96
67,McNeese St. 12,Slnd,30-4,+11.80,113.4,101.5,65.9,+.032,-6.38,102.6,109.0,+4.47
68,Virginia 10,ACC,23-11,+11.80,105.1,93.3,60.1,+.108,+9.07,111.6,102.5,-1.09
69,Princeton,Ivy,24-5,+11.58,116.7,105.1,65.5,+.027,+0.54,106.4,105.8,+3.14
70,Kansas St.,B12,19-15,+11.52,108.3,96.8,67.7,+.028,+11.49,111.8,100.3,+0.06
71,Boston College,ACC,20-16,+11.44,113.9,102.4,67.0,-.017,+9.16,110.4,101.2,-0.74
72,SMU,Amer,20-13,+11.13,111.9,100.8,67.7,-.090,+3.47,108.6,105.2,+0.33
73,UNLV,MWC,21-13,+10.86,113.0,102.2,65.6,+.022,+8.02,110.7,102.7,+3.71
74,North Texas,Amer,19-15,+10.83,110.3,99.4,61.8,-.102,+5.86,109.8,103.9,+4.24
75,VCU,A10,24-14,+10.69,109.2,98.5,65.6,-.011,+5.27,108.7,103.4,+0.34
76,Memphis,Amer,22-10,+10.59,113.2,102.6,71.6,+.036,+5.00,109.2,104.2,+5.32
77,Penn St.,B10,16-17,+10.49,111.5,101.1,69.8,-.059,+9.52,111.1,101.6,-3.95
78,Minnesota,B10,19-15,+10.39,113.6,103.2,66.6,-.017,+8.35,110.9,102.5,-12.77
79,Florida St.,ACC,17-16,+10.29,110.9,100.6,71.1,+.013,+11.13,112.7,101.6,+2.89
80,Syracuse,ACC,20-12,+10.26,111.7,101.4,70.8,+.132,+11.20,112.4,101.2,+3.27
81,Samford 13,SC,29-6,+10.03,113.6,103.6,72.8,+.110,-2.14,104.5,106.7,-5.47
82,UC Irvine,BW,24-10,+9.97,109.5,99.6,68.6,-.049,-0.05,106.0,106.1,+5.68
83,Appalachian St.,SB,27-7,+9.88,108.4,98.6,67.1,+.019,-1.31,106.4,107.7,+0.21
84,Georgia,SEC,20-17,+9.82,109.4,99.6,69.0,+.034,+10.47,112.8,102.4,+0.42
85,USC,P12,15-18,+9.63,110.5,100.8,68.2,-.042,+10.88,111.6,100.7,+6.32
86,Mississippi,SEC,20-12,+9.36,113.9,104.5,66.9,+.095,+8.78,111.0,102.2,-1.54
87,South Florida,Amer,25-8,+9.26,111.0,101.7,68.2,+.049,+0.97,106.5,105.5,-4.18
88,Duquesne 11,A10,25-12,+9.19,107.2,98.0,66.2,+.079,+5.68,109.7,104.0,+1.51
89,Richmond,A10,23-10,+9.08,107.2,98.1,66.8,+.043,+3.37,107.8,104.4,-3.01
90,Yale 13,Ivy,23-10,+9.07,110.9,101.8,64.9,+.040,+3.07,108.7,105.6,+5.01
91,Indiana,B10,19-14,+8.74,109.8,101.1,68.5,+.138,+11.77,113.0,101.2,-0.89
92,Massachusetts,A10,20-11,+8.58,111.8,103.2,68.3,-.063,+0.59,106.3,105.7,-5.40
93,Loyola Chicago,A10,23-10,+8.38,105.5,97.1,68.7,+.056,+3.03,107.6,104.6,-3.50
94,Louisiana Tech,CUSA,22-10,+8.33,108.8,100.5,65.8,-.072,-0.24,104.7,104.9,+3.95
95,LSU,SEC,17-16,+8.26,110.5,102.2,69.9,-.019,+8.85,111.3,102.4,-1.46
96,Miami FL,ACC,15-17,+8.17,111.2,103.0,68.6,-.059,+9.83,111.2,101.4,-2.64
97,George Mason,A10,20-12,+8.09,109.5,101.5,63.8,-.033,+2.26,107.6,105.4,-3.27
98,UCLA,P12,16-17,+7.96,107.4,99.4,63.1,-.028,+9.05,110.5,101.5,+0.68
99,Saint Joseph's,A10,21-14,+7.69,110.6,102.9,68.5,-.044,+2.59,107.3,104.7,-6.28
100,Rutgers,B10,15-17,+7.56,99.4,91.8,67.9,-.000,+11.47,112.7,101.2,-3.00
101,Charleston 13,CAA,27-8,+7.52,113.9,106.4,70.3,+.047,-1.68,105.9,107.5,-0.38
102,St. Bonaventure,A10,20-13,+7.33,111.6,104.3,65.7,-.019,+2.42,106.6,104.2,-4.53
103,Cornell,Ivy,22-8,+7.19,113.4,106.2,71.5,+.024,+0.42,106.2,105.7,+0.14
104,Vermont 13,AE,28-7,+6.61,106.5,99.9,63.3,+.078,-2.20,104.7,106.9,+2.30
105,Stanford,P12,14-18,+6.57,110.5,103.9,69.7,-.052,+8.01,110.0,102.0,-1.88
106,UAB 12,Amer,23-12,+6.49,113.7,107.2,67.8,+.102,+4.78,108.9,104.2,+1.94
107,Seattle,WAC,23-14,+6.48,105.9,99.4,66.9,-.070,-0.69,104.7,105.4,-1.34
108,Arkansas,SEC,16-17,+5.87,110.0,104.1,70.8,+.046,+9.60,112.6,103.0,+2.08
109,Santa Clara,WCC,20-13,+5.70,109.8,104.1,69.2,+.013,+2.57,107.7,105.1,+3.88
110,Western Carolina,SC,22-10,+5.68,109.2,103.5,66.9,+.002,-0.72,106.2,106.9,-0.07
111,Northern Iowa,MVC,19-14,+5.52,109.2,103.6,66.8,+.036,+4.79,108.8,104.0,+6.12
112,UT Arlington,WAC,20-14,+5.38,109.5,104.2,71.1,+.018,+1.95,106.1,104.2,+9.23
113,Hofstra,CAA,20-13,+5.35,108.5,103.1,65.8,-.038,-0.32,107.6,107.9,+5.43
114,High Point,BSth,27-9,+5.33,115.8,110.5,68.8,-.043,-3.91,104.5,108.4,-4.51
115,Belmont,MVC,20-13,+5.31,109.4,104.0,71.3,+.056,+2.65,107.9,105.2,+1.36
116,Morehead St. 14,OVC,26-9,+5.15,109.1,104.0,64.3,+.043,-5.27,103.6,108.9,+7.73
117,Oklahoma St.,B12,12-20,+4.90,108.8,103.9,67.2,-.070,+9.14,110.4,101.2,-5.58
118,Notre Dame,ACC,13-20,+4.85,103.3,98.4,64.4,-.012,+9.78,111.4,101.6,-1.04
119,UNC Wilmington,CAA,21-10,+4.73,113.3,108.6,65.4,+.020,-0.48,106.3,106.8,+5.67
120,Charlotte,Amer,19-12,+4.65,108.7,104.1,62.5,+.046,+2.60,107.8,105.2,+2.60
121,California,P12,13-19,+4.64,109.0,104.4,68.6,-.003,+8.94,110.7,101.8,+0.57
